embeddings_name,Num_Topics,n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_method,topic_coherence_c_v
all-mpnet-base-v2,4,10,10,15,10,eom,0.47838630601110965
all-mpnet-base-v2,4,10,10,20,10,eom,0.47838630601110965
all-mpnet-base-v2,20,25,15,10,15,eom,0.47831006040636337
all-mpnet-base-v2,18,25,15,15,15,eom,0.47831006040636337
all-mpnet-base-v2,14,25,15,15,15,eom,0.47831006040636337
all-mpnet-base-v2,20,25,15,15,15,eom,0.47831006040636337
all-mpnet-base-v2,16,25,15,5,15,eom,0.47831006040636337
all-mpnet-base-v2,14,25,15,5,15,eom,0.47831006040636337
all-mpnet-base-v2,10,25,15,15,15,eom,0.47831006040636337
all-mpnet-base-v2,14,25,15,10,15,eom,0.47831006040636337
all-mpnet-base-v2,10,25,15,5,15,eom,0.47831006040636337
all-mpnet-base-v2,12,25,15,5,15,eom,0.47831006040636337
all-mpnet-base-v2,10,25,15,10,15,eom,0.47831006040636337
all-mpnet-base-v2,12,25,15,10,15,eom,0.47831006040636337
all-mpnet-base-v2,20,25,15,5,15,eom,0.47831006040636337
all-mpnet-base-v2,16,25,15,10,15,eom,0.47831006040636337
all-mpnet-base-v2,12,25,15,15,15,eom,0.47831006040636337
all-mpnet-base-v2,16,25,15,15,15,eom,0.47831006040636337
all-mpnet-base-v2,18,25,15,5,15,eom,0.47831006040636337
all-mpnet-base-v2,18,25,15,10,15,eom,0.47831006040636337
all-mpnet-base-v2,18,10,15,10,25,eom,0.4782400014970851
all-mpnet-base-v2,10,10,15,10,25,eom,0.4782400014970851
all-mpnet-base-v2,20,10,15,10,25,eom,0.4782400014970851
all-mpnet-base-v2,12,10,15,10,25,eom,0.4782400014970851
all-mpnet-base-v2,8,10,15,10,25,eom,0.4782400014970851
all-mpnet-base-v2,16,10,15,10,25,eom,0.4782400014970851
all-mpnet-base-v2,14,10,15,10,25,eom,0.4782400014970851
all-mpnet-base-v2,6,25,5,5,15,eom,0.47784212090049333
all-mpnet-base-v2,4,15,20,25,5,eom,0.47766363827695624
all-mpnet-base-v2,10,15,15,5,5,eom,0.47721328181259715
all-mpnet-base-v2,18,25,15,10,10,eom,0.477161443429225
all-mpnet-base-v2,16,25,15,10,10,eom,0.477161443429225
all-mpnet-base-v2,14,25,15,10,10,eom,0.477161443429225
all-mpnet-base-v2,20,25,15,10,10,eom,0.477161443429225
all-mpnet-base-v2,6,15,25,5,10,eom,0.4771126248151332
all-mpnet-base-v2,16,25,20,20,10,eom,0.47705726002858195
all-mpnet-base-v2,18,25,20,15,10,eom,0.47705726002858195
all-mpnet-base-v2,10,25,20,15,10,eom,0.47705726002858195
all-mpnet-base-v2,8,25,20,15,10,eom,0.47705726002858195
all-mpnet-base-v2,18,25,20,20,10,eom,0.47705726002858195
all-mpnet-base-v2,8,25,20,20,10,eom,0.47705726002858195
all-mpnet-base-v2,12,25,20,20,10,eom,0.47705726002858195
all-mpnet-base-v2,20,25,20,20,10,eom,0.47705726002858195
all-mpnet-base-v2,10,25,20,20,10,eom,0.47705726002858195
all-mpnet-base-v2,20,25,20,15,10,eom,0.47705726002858195
all-mpnet-base-v2,14,25,20,15,10,eom,0.47705726002858195
all-mpnet-base-v2,14,25,20,20,10,eom,0.47705726002858195
all-mpnet-base-v2,12,25,20,15,10,eom,0.47705726002858195
all-mpnet-base-v2,16,25,20,15,10,eom,0.47705726002858195
all-mpnet-base-v2,6,25,5,20,15,eom,0.476992786117446
all-mpnet-base-v2,6,25,5,15,15,eom,0.476992786117446
all-mpnet-base-v2,6,25,5,10,15,eom,0.476992786117446
all-mpnet-base-v2,12,15,25,5,15,eom,0.4768792840216499
all-mpnet-base-v2,10,5,10,10,10,eom,0.4766636232210873
all-mpnet-base-v2,8,20,10,10,5,eom,0.4766186215029867
all-mpnet-base-v2,10,25,20,5,5,eom,0.4766086820390434
all-mpnet-base-v2,8,10,5,10,10,eom,0.47648490843267705
all-mpnet-base-v2,8,10,20,10,5,eom,0.4763685171625334
all-mpnet-base-v2,10,25,10,5,5,eom,0.47628170255851465
all-mpnet-base-v2,10,25,5,10,5,eom,0.47611802390658603
all-mpnet-base-v2,6,10,5,10,20,eom,0.4760909346498044
all-mpnet-base-v2,6,10,5,5,20,eom,0.4760909346498044
all-mpnet-base-v2,8,5,10,5,10,eom,0.47509341345675576
all-mpnet-base-v2,10,10,25,10,20,eom,0.4748884481516262
all-mpnet-base-v2,10,10,25,15,20,eom,0.4748884481516262
all-mpnet-base-v2,10,10,25,20,20,eom,0.4748884481516262
all-mpnet-base-v2,18,10,25,20,20,eom,0.4748884481516262
all-mpnet-base-v2,18,10,25,10,20,eom,0.4748884481516262
all-mpnet-base-v2,12,10,25,10,20,eom,0.4748884481516262
all-mpnet-base-v2,12,10,25,15,20,eom,0.4748884481516262
all-mpnet-base-v2,16,10,25,15,20,eom,0.4748884481516262
all-mpnet-base-v2,16,10,25,20,20,eom,0.4748884481516262
all-mpnet-base-v2,20,10,25,15,20,eom,0.4748884481516262
all-mpnet-base-v2,12,10,25,20,20,eom,0.4748884481516262
all-mpnet-base-v2,14,10,25,10,20,eom,0.4748884481516262
all-mpnet-base-v2,20,10,25,10,20,eom,0.4748884481516262
